SERIALNO,AGE,WRKLYR,INCTOT
0000492,39,1,17400
0000492,38,2,0
0000492,18,1,8352
0000492,16,2,0
0000492,15,0,NA
0000492,12,0,NA
0000492,10,0,NA
0000492,2,0,NA
0000493,33,1,17400
0000493,26,2,0
0000494,55,1,26390
0000494,55,2,0
0000494,24,1,9280
0000494,20,2,0
0000494,18,2,0
0000495,71,2,31841
0000496,26,2,0
0000496,8,0,NA
0000496,3,0,NA
0000497,55,1,61479
0000497,55,2,0
0000498,70,2,29637
0000498,29,1,7597
0000499,62,0,NA
0000500,51,1,28999
0000500,44,1,55679
0000501,62,1,11832
0000501,63,1,71920
0000502,54,1,12760
0000502,55,2,4872
0000503,63,1,41760
0000503,63,2,7423
0000504,54,1,95120
0000504,51,1,46400
0000505,33,1,35960
0000505,32,0,NA
0000506,5,0,NA
0000507,29,1,31899
